,ERM (shared),DAN λ=1 (Task 2),DAN-DG λ=1 (Task 3),SAM (Task 3)
dog,0.17357512953367876,0.4766839378238341,0.0,0.2823834196891192
elephant,0.9675675675675676,0.8351351351351352,0.0,0.9932432432432432
giraffe,0.799468791500664,0.6719787516600265,0.0,0.6666666666666666
guitar,0.9029605263157895,0.8157894736842105,0.0,0.7138157894736842
horse,0.5686274509803921,0.7022058823529411,0.0,0.4325980392156863
house,0.7125,1.0,0.0,0.7
person,0.80625,0.65625,1.0,0.3875
