config,method,loss,loss_perturbed,delta_sharp,grad_norm,radius,n
erm,ERM,0.13232077658176422,0.41617584228515625,0.28385506570339203,4.950942039489746,0.05,96
dan_dg,DAN-DG (λ=1),1.9354275465011597,1.9451175928115845,0.009690046310424805,1.0640510320663452,0.05,96
sam,SAM (ρ=0.05),0.07202764600515366,0.15324929356575012,0.08122164756059647,1.2768909931182861,0.05,96
dan_dg_lambda0.1,DAN-DG (λ=0.1),0.08505019545555115,0.3611548840999603,0.2761046886444092,3.4517579078674316,0.05,96
dan_dg_lambda10,DAN-DG (λ=10),1.9349384307861328,1.9427334070205688,0.007794976234436035,0.9312883019447327,0.05,96
