config,method,photo_acc,photo_macro_f1,art_painting_acc,art_painting_macro_f1,cartoon_acc,cartoon_macro_f1,mean_acc,mean_macro_f1,worst_acc,worst_macro_f1,worst_domain_by_acc,sketch_acc,sketch_macro_f1,sketch_acc_change_vs_erm,sketch_macro_f1_change_vs_erm,source_domain_separability,sharpness_delta
erm,ERM,0.9550898203592816,0.9458793397516532,0.9073170731707316,0.904032435050978,0.9402985074626866,0.9451617517119996,0.9342351336642332,0.9316911755048768,0.9073170731707316,0.904032435050978,art_painting,0.6747263934843472,0.671835858317271,0.0,0.0,0.8870431893687708,0.283855065703392
dan_dg,DAN-DG (λ=1),0.2574850299401197,0.0585034013605442,0.2195121951219512,0.0514285714285714,0.1727078891257995,0.042077922077922,0.2165683713959568,0.0506699649556792,0.1727078891257995,0.042077922077922,cartoon,0.04072283023670145,0.011179820424134438,-0.6340035632476457,-0.6606560378931365,0.3322259136212624,0.0096900463104248
sam,SAM (ρ=0.05),0.9760479041916168,0.9723237992294514,0.9390243902439024,0.9387157461783746,0.957356076759062,0.9623374520386908,0.957476123731527,0.9577923324821724,0.9390243902439024,0.9387157461783746,art_painting,0.6006617459913464,0.6264429365347676,-0.07406464749300079,-0.045392921782503426,0.8903654485049833,0.0812216475605964
dan_dg_lambda0.1,DAN-DG (λ=0.1),0.9730538922155688,0.9692455195675672,0.9365853658536586,0.9398615349706798,0.9488272921108742,0.9534928099683514,0.9528221833933672,0.9541999548355328,0.9365853658536586,0.9398615349706798,art_painting,0.6459658946296768,0.6368622659437302,-0.028760498854670358,-0.03497359237354081,0.813953488372093,0.2761046886444092
dan_dg_lambda10,DAN-DG (λ=10),0.2574850299401197,0.0585034013605442,0.2195121951219512,0.0514285714285714,0.1727078891257995,0.042077922077922,0.2165683713959568,0.0506699649556792,0.1727078891257995,0.042077922077922,cartoon,0.04072283023670145,0.011179820424134438,-0.6340035632476457,-0.6606560378931365,0.3820598006644518,0.007794976234436
