config,model,score,score_key,threshold_tau,val_accept_rate_at_tau,val_mean,val_std
vanilla,Vanilla,MSP,msp,0.1535027861595157,0.95,0.02125745452940464,0.07896538078784943
vanilla,Vanilla,MLS,mls,-5.930164980888366,0.95,-9.170572280883789,1.5706567764282227
vanilla,Vanilla,Energy,energy,-6.066065955162047,0.95,-9.1965970993042,1.5072699785232544
vanilla,Vanilla,Mahalanobis,mahalanobis,2951.2962524414065,0.95,785.4163818359375,884.138427734375
gcsc,GCSC,MSP,msp,0.19781396687030794,0.95,0.02503611147403717,0.08508575707674026
gcsc,GCSC,MLS,mls,-6.141122293472289,0.95,-9.486910820007324,1.8476200103759766
gcsc,GCSC,Energy,energy,-6.302107739448546,0.95,-9.517627716064453,1.7871907949447632
proser,PROSER,MSP,msp,0.1943696677684785,0.95,0.0277267936617136,0.08781241625547409
proser,PROSER,MLS,mls,-4.387964677810667,0.95,-7.368009567260742,1.4631363153457642
proser,PROSER,Energy,energy,-4.591710948944091,0.95,-7.401875019073486,1.3884167671203613
proser,PROSER,PROSER placeholder,placeholder,0.7662594556808475,0.95,-1.9592612981796265,1.2681267261505127
