model,config,score,score_key,cifar10_test_csa,auroc_known_vs_near,auroc_known_vs_far,auroc_known_vs_all,fpr_at_95tpr_near,fpr_at_95tpr_far,fpr_at_95tpr_all,threshold,test_acceptance_rate,near_rejection_rate,near_acceptance_rate,far_rejection_rate,far_acceptance_rate,all_rejection_rate,all_acceptance_rate
Vanilla,vanilla,MSP,msp,0.9460999965667725,0.8174086249999999,0.900962625,0.8591856250000001,0.725,0.58,0.6525,0.1535027861595157,0.9469,0.2825,0.7175,0.43,0.57,0.35625,0.64375
Vanilla,vanilla,MLS,mls,0.9460999965667725,0.7920986874999999,0.898338875,0.84521878125,0.695,0.48625,0.590625,-5.930164980888366,0.9494,0.30875,0.69125,0.51625,0.48375,0.4125,0.5875
Vanilla,vanilla,Energy,energy,0.9460999965667725,0.7919724999999999,0.8988590625,0.8454157812499999,0.6975,0.4725,0.585,-6.066065955162047,0.9532,0.29625,0.70375,0.5125,0.4875,0.404375,0.595625
Vanilla,vanilla,Mahalanobis,mahalanobis,0.9460999965667725,0.8019953124999999,0.9194276250000001,0.8607114687499999,0.72,0.5025,0.61125,2951.2962524414065,0.9467,0.29125,0.70875,0.51875,0.48125,0.405,0.595
