system,condition,class,accuracy
clip_zeroshot,hue_rotate,bird,0.98
clip_zeroshot,hue_rotate,car,1.0
clip_zeroshot,hue_rotate,cat,0.7
clip_zeroshot,hue_rotate,deer,0.98
clip_zeroshot,hue_rotate,dog,0.76
clip_zeroshot,hue_rotate,horse,1.0
clip_zeroshot,hue_rotate,monkey,0.9
clip_zeroshot,hue_rotate,ship,1.0
clip_zeroshot,hue_rotate,truck,0.94
clip_zeroshot,patch_shuffle,airplane,0.74
clip_zeroshot,patch_shuffle,bird,1.0
clip_zeroshot,patch_shuffle,car,0.96
clip_zeroshot,patch_shuffle,cat,0.52
clip_zeroshot,patch_shuffle,deer,0.72
clip_zeroshot,patch_shuffle,dog,0.74
clip_zeroshot,patch_shuffle,horse,0.84
clip_zeroshot,patch_shuffle,monkey,0.66
clip_zeroshot,patch_shuffle,ship,0.92
clip_zeroshot,patch_shuffle,truck,0.88
