config,true,pred,count
dann_disclr10,dog,giraffe,42
dann_disclr10,dog,guitar,0
dann_disclr10,dog,horse,13
dann_disclr10,dog,house,19
dann_disclr10,dog,person,232
dann_disclr10,elephant,dog,23
dann_disclr10,elephant,elephant,637
dann_disclr10,elephant,giraffe,1
dann_disclr10,elephant,guitar,0
dann_disclr10,elephant,horse,0
dann_disclr10,elephant,house,25
dann_disclr10,elephant,person,54
dann_disclr10,giraffe,dog,32
dann_disclr10,giraffe,elephant,30
dann_disclr10,giraffe,giraffe,594
dann_disclr10,giraffe,guitar,5
dann_disclr10,giraffe,horse,15
dann_disclr10,giraffe,house,8
dann_disclr10,giraffe,person,69
dann_disclr10,guitar,dog,0
dann_disclr10,guitar,elephant,7
dann_disclr10,guitar,giraffe,8
dann_disclr10,guitar,guitar,575
dann_disclr10,guitar,horse,0
dann_disclr10,guitar,house,2
dann_disclr10,guitar,person,16
dann_disclr10,horse,dog,121
dann_disclr10,horse,elephant,77
dann_disclr10,horse,giraffe,99
dann_disclr10,horse,guitar,8
dann_disclr10,horse,horse,394
dann_disclr10,horse,house,33
dann_disclr10,horse,person,84
dann_disclr10,house,dog,0
dann_disclr10,house,elephant,0
dann_disclr10,house,giraffe,0
dann_disclr10,house,guitar,0
dann_disclr10,house,horse,0
dann_disclr10,house,house,80
dann_disclr10,house,person,0
dann_disclr10,person,dog,0
dann_disclr10,person,elephant,1
dann_disclr10,person,giraffe,0
dann_disclr10,person,guitar,0
dann_disclr10,person,horse,0
dann_disclr10,person,house,0
dann_disclr10,person,person,159
cdan_disclr10,dog,dog,351
cdan_disclr10,dog,elephant,57
cdan_disclr10,dog,giraffe,19
cdan_disclr10,dog,guitar,0
cdan_disclr10,dog,horse,278
cdan_disclr10,dog,house,24
cdan_disclr10,dog,person,43
cdan_disclr10,elephant,dog,38
cdan_disclr10,elephant,elephant,563
cdan_disclr10,elephant,giraffe,2
cdan_disclr10,elephant,guitar,0
cdan_disclr10,elephant,horse,104
cdan_disclr10,elephant,house,17
cdan_disclr10,elephant,person,16
cdan_disclr10,giraffe,dog,64
cdan_disclr10,giraffe,elephant,5
cdan_disclr10,giraffe,giraffe,531
cdan_disclr10,giraffe,guitar,3
cdan_disclr10,giraffe,horse,128
cdan_disclr10,giraffe,house,16
cdan_disclr10,giraffe,person,6
cdan_disclr10,guitar,dog,1
cdan_disclr10,guitar,elephant,3
cdan_disclr10,guitar,giraffe,8
cdan_disclr10,guitar,guitar,580
cdan_disclr10,guitar,horse,5
cdan_disclr10,guitar,house,7
cdan_disclr10,guitar,person,4
cdan_disclr10,horse,dog,24
cdan_disclr10,horse,elephant,0
cdan_disclr10,horse,giraffe,5
cdan_disclr10,horse,guitar,0
cdan_disclr10,horse,horse,754
cdan_disclr10,horse,house,26
cdan_disclr10,horse,person,7
cdan_disclr10,house,dog,0
cdan_disclr10,house,elephant,0
cdan_disclr10,house,giraffe,0
cdan_disclr10,house,guitar,0
cdan_disclr10,house,horse,0
cdan_disclr10,house,house,80
cdan_disclr10,house,person,0
cdan_disclr10,person,dog,0
cdan_disclr10,person,elephant,1
cdan_disclr10,person,giraffe,0
cdan_disclr10,person,guitar,0
cdan_disclr10,person,horse,1
cdan_disclr10,person,house,7
cdan_disclr10,person,person,151
dann,dog,dog,59
dann,dog,elephant,79
dann,dog,giraffe,27
dann,dog,guitar,39
dann,dog,horse,63
dann,dog,house,0
dann,dog,person,505
dann,elephant,dog,34
dann,elephant,elephant,344
dann,elephant,giraffe,3
dann,elephant,guitar,10
dann,elephant,horse,29
dann,elephant,house,0
dann,elephant,person,320
dann,giraffe,dog,54
dann,giraffe,elephant,15
dann,giraffe,giraffe,199
dann,giraffe,guitar,128
dann,giraffe,horse,18
dann,giraffe,house,0
dann,giraffe,person,339
dann,guitar,dog,0
dann,guitar,elephant,22
dann,guitar,giraffe,4
dann,guitar,guitar,520
dann,guitar,horse,0
dann,guitar,house,1
dann,guitar,person,61
dann,horse,dog,18
dann,horse,elephant,84
dann,horse,giraffe,25
dann,horse,guitar,50
dann,horse,horse,78
dann,horse,house,0
dann,horse,person,561
dann,house,dog,0
dann,house,elephant,9
dann,house,giraffe,0
dann,house,guitar,44
dann,house,horse,0
dann,house,house,26
dann,house,person,1
dann,person,dog,0
dann,person,elephant,11
dann,person,giraffe,1
dann,person,guitar,72
dann,person,horse,0
dann,person,house,0
dann,person,person,76
cdan,dog,dog,740
cdan,dog,elephant,1
cdan,dog,giraffe,0
cdan,dog,guitar,0
cdan,dog,horse,3
cdan,dog,house,9
cdan,dog,person,19
cdan,elephant,dog,642
cdan,elephant,elephant,83
cdan,elephant,giraffe,0
cdan,elephant,guitar,0
cdan,elephant,horse,1
cdan,elephant,house,7
cdan,elephant,person,7
cdan,giraffe,dog,424
cdan,giraffe,elephant,1
cdan,giraffe,giraffe,254
cdan,giraffe,guitar,0
cdan,giraffe,horse,47
cdan,giraffe,house,20
cdan,giraffe,person,7
cdan,guitar,dog,38
cdan,guitar,elephant,0
cdan,guitar,giraffe,3
cdan,guitar,guitar,541
cdan,guitar,horse,2
cdan,guitar,house,15
cdan,guitar,person,9
cdan,horse,dog,582
cdan,horse,elephant,0
cdan,horse,giraffe,0
cdan,horse,guitar,0
cdan,horse,horse,212
cdan,horse,house,19
cdan,horse,person,3
cdan,house,dog,0
cdan,house,elephant,0
cdan,house,giraffe,0
cdan,house,guitar,0
cdan,house,horse,0
cdan,house,house,80
cdan,house,person,0
cdan,person,dog,6
cdan,person,elephant,0
cdan,person,giraffe,0
cdan,person,guitar,0
cdan,person,horse,0
cdan,person,house,4
cdan,person,person,150
dan_lambda0.1,dog,dog,478
dan_lambda0.1,dog,elephant,69
dan_lambda0.1,dog,giraffe,9
dan_lambda0.1,dog,guitar,0
dan_lambda0.1,dog,horse,38
dan_lambda0.1,dog,house,56
dan_lambda0.1,dog,person,122
dan_lambda0.1,elephant,dog,51
dan_lambda0.1,elephant,elephant,603
dan_lambda0.1,elephant,giraffe,0
dan_lambda0.1,elephant,guitar,0
dan_lambda0.1,elephant,horse,2
dan_lambda0.1,elephant,house,45
dan_lambda0.1,elephant,person,39
dan_lambda0.1,giraffe,dog,97
dan_lambda0.1,giraffe,elephant,16
dan_lambda0.1,giraffe,giraffe,473
dan_lambda0.1,giraffe,guitar,0
dan_lambda0.1,giraffe,horse,36
dan_lambda0.1,giraffe,house,60
dan_lambda0.1,giraffe,person,71
dan_lambda0.1,guitar,dog,0
dan_lambda0.1,guitar,elephant,4
