lambda_mmd,mean_acc,mean_macro_f1,worst_acc,domain_separability,target_acc,target_macro_f1,target_acc_change_vs_source_only,best_mean_source_val_f1
0.1,0.9392883171199854,0.9398198630101694,0.8951219512195122,0.9642857142857144,0.7192669890557394,0.6632294315607805,0.04454059557139223,False
1.0,0.943654985520145,0.9428404102289094,0.8975609756097561,0.8516483516483516,0.6989055739373886,0.6372577795036477,0.02417918045304146,True
10.0,0.2165683713959568,0.0506699649556792,0.1727078891257995,0.6538461538461539,0.04072283023670145,0.011179820424134438,-0.6340035632476457,False
